0	 · Failed: {failed}
1	ADB unavailable
2	ADB is unavailable. Check the application and service, then refresh
3	ADB temporarily unavailable
4	Activity info
5	Android {value} device
6	Android settings
7	CPU info
8	CPU architecture
9	CPU load
10	GFX info
11	IP address:port
12	Monkey is not running
13	A Monkey test is running. Stop it first
14	Shell commands
15	Shell, system settings, port forwarding and emulator tools
16	Connect a USB device and refresh, or enter an IP address and port for a wireless device.
17	{brand} Android device
18	{count} devices online · {selected} selected as targets
19	{description}\nUnavailable: {disabled_reason}
20	{n} service
21	{status}\nDevice: {device_info}
22	{text}, {count} selected
23	Previous
24	Swipe up
25	Next
26	Swipe down
27	Unavailable
28	Disable device audio forwarding
29	{action} for {name}; keep other selected devices
30	Main navigation
31	Home
32	Events:
33	Event percentages total 100%
34	Event percentages total one hundred percent
35	Event percentages do not total 100%
36	Disable the app with the entered package name for the current device user only
37	Record only
38	Uninstall the app with the entered package name from selected devices
39	Copy diagnostic logs from selected devices
40	Start in full screen
41	Connect via USB and allow debugging on the device, or enter a wireless debugging address.
42	Select one or more devices using the checkboxes
43	Save recording
44	Stay awake
45	Stop failed
46	Stop screen mirroring (Ctrl+Shift+Return)
47	Stop and close the current tool's device session
48	Stop recording
49	Stop the running Monkey test
50	Stop the current screen recording
51	Stop test
52	Stop mirroring
53	Disable app
54	Disable the app with the entered package name
55	Full screen
56	Select all
57	All
58	All levels
59	Disable NFC
60	Disable Wi-Fi
61	Close session
62	Disable animations
63	Close current tool session
64	Disable mobile data
65	Disable Bluetooth
66	Turn off device screen
67	Other
68	Memory
69	Kernel version
70	Write value
71	Write the specified Android setting
72	Switch to landscape orientation
73	Switch to portrait orientation
74	Switch keyboard
75	List all
76	Delete
77	Delete collected logs from selected devices
78	Refresh
79	Refresh devices
80	Select as a batch target without switching existing device sessions
81	Select all online devices as operation targets
82	Uninstall app
83	History
84	Double-click the device name or blank area to select or clear this target
85	Reverse rules
86	Reverse port
87	Sender
88	Send a swipe-up gesture
89	Send a swipe-down gesture
90	Send a swipe-right gesture
91	Send a swipe-left gesture
92	Send broadcast
93	Send key event {code}
94	Send text
95	Send the entered Android broadcast
96	Cancel
97	Cancel task {operation_id}
98	Deselect all
99	Clear target selection while keeping existing device sessions
100	Cancel this package query without starting Monkey
101	Cancel query
102	Record to a file without displaying the mirror window
103	Ready to start
104	Select multiple devices. Running sessions keep their original devices.
105	Ready
106	Available memory
107	Available storage
108	Swipe right
109	Total: --
110	Total: {total}%
111	Install APK files on selected devices
112	Start Activity
113	Start the entered Activity or Intent
114	Enable NFC
115	Enable TCP/IP
116	Enable Wi-Fi
117	Enable animations
118	Enable app
119	Enable mobile data
120	Enable Bluetooth
121	Enable the app with the entered package name
122	Enable the entered input method ID
123	Wake locks
124	Show selected device details in the task activity log
125	View selected device information in the task activity log
126	Show touch positions on the screen
127	Open the entered URL on selected devices
128	Enter this text on selected devices
129	Enable wireless ADB on the specified port
130	Online
131	{count} online
132	Active tasks
133	Failed
134	Total storage
135	Disable for current user
136	Run dumpsys for the selected service
137	Navigation
138	Select {name} as a target
139	Reboot selected devices into the specified mode
140	Forward a local port to the device
141	Forward a device port to the computer
142	Record the mirrored screen to a file
143	No devices found. Connect a device or refresh
144	Ready
145	Size:
146	Screen
147	Screen density
148	Screen recording is already running
149	Screen mirroring
150	Screen mirroring, device keys and gesture controls
151	Expand or collapse this device's details
152	Show options
153	Expand notifications
154	Expand the notification shade
155	Swipe left
156	Cancelled
157	Package information query cancelled
158	Completed tasks will appear here.
159	Disconnected
160	Offline
161	Connected
162	{device_count} connected
163	Connected devices
164	Selected
165	One device selected. Remote control is ready to start
166	Broadcasts & Intents
167	Apply
168	Apps & automation
169	App switching
170	App switching:
171	App packages, Monkey, screen capture and diagnostic tools
172	Package name
173	App packages
174	Apply the selected quick setting
175	Device selection status for app operations
176	Application results and errors will appear here.
177	Apply the simulated battery value
178	Apps
179	Apply setting
180	Adjust event percentages to total 100%
181	Package information is checked on each target before starting. Leave the package name empty to use each device's foreground app.
182	Start screen mirroring (Ctrl+Enter)
183	Start recording the screen on selected devices
184	Start recording
185	Start test
186	Start mirroring
187	A recording file will be created when mirroring starts
188	Force a hardware encoder (may cause stuttering)
189	Force stop
190	Force stop and restart the app with the entered package name
191	Force stop the app with the entered package name
192	Event percentages currently total {total}%, rather than 100%.\nMonkey can still run, but the event distribution may differ from your expectations.\n\nAdjust the percentages so they total 100%.
193	Event percentages currently total {total} percent; adjust them to one hundred percent
194	{device_count} Android devices available
195	Viewing
196	Device for the current session
197	No Android devices are connected
198	No screen recording is running
199	No package information query is running
200	The remote session device is offline. Stop the session to select another device
201	Recording save path
202	Ignore security exceptions
203	Ignore crashes
204	Ignore timeouts
205	Performance diagnostics
206	Succeeded
207	Capture the screen on selected devices
208	Screenshot
209	Capture & diagnostics
210	Open remote control
211	Open link
212	Run
213	Run the entered Shell command
214	Scanning
215	Scanning…
216	Scan connected devices
217	Batch install
218	Batch install APKs
219	Reports & logs
220	Start a Monkey test with the current configuration
221	Queued
222	Queued: 0 · Sent: 0 · Failed: 0
223	Queued: {queued} · Sent: {sent} · Failed: {failed}
224	Export ANR
225	Export application-not-responding reports
226	Export logs
227	Search
228	Play
229	Targets or package name changed. Query package information again
230	View operation results and errors in the activity log below.
231	Target devices
232	Target devices · {count}
233	Target devices · None selected
234	Target device selection list
235	Target devices (multiple selection)
236	Finalizing
237	Hide details
238	Collapse notifications
239	Collapse the notification shade
240	Collect an Android bugreport
241	Value
242	Files
243	Text & screen
244	Disconnect ADB connections for selected devices
245	Disconnect selected devices
246	Disconnect
247	Orientation:
248	Wireless
249	No devices
250	Log level filter
251	Show installed input methods
252	Show frame rendering statistics
253	Show current reverse port forwarding rules
254	Show current forward port forwarding rules
255	Show settings in the selected namespace
256	Show active power wake locks
257	Show battery diagnostics
258	Show network usage statistics
259	Show touches
260	Show running processes on the device
261	Show the device kernel version
262	Show device processor details
263	Show system features supported by the device
264	No history yet
265	No active tasks
266	Unable to connect to ADB
267	More device actions
268	Recent apps
269	No devices found
270	Not selected
271	Local port
272	View application activity and errors; filter by level or clear the display
273	View selected device information
274	View information or disconnect selected devices
275	View per-process CPU load on selected devices
276	View the foreground window and Activity on selected devices
277	View local APK metadata
278	View device uptime and system load averages
279	View memory usage for the app with the entered package name
280	Query
281	Query the entered Content Provider URI
282	Validate the address and connect to the wireless device
283	Detecting
284	Simulate an incoming text message
285	Emulator
286	Simulate call
287	Simulate an incoming call on the emulator
288	Simulate SMS
289	Landscape
290	Forward rules
291	Forward port
292	Stopping Monkey
293	Stopping…
294	Stopping recording
295	Discovering devices… · {count} found last time
296	Capturing screenshots. Please wait
297	Scanning
298	Scanning Android devices
299	Scanning connected Android devices
300	Looking for Android devices
301	Checking package information on {count} devices…
302	Checking…
303	Querying package information. Wait for completion or cancel the query
304	Reading the current app. Please wait
